,0
0,243.75
1,623.8125
2,557.6875
3,571.25
4,808.75
5,351.25
6,352.8125
7,730.125
8,933.25
9,774
10,2015.625
11,405.3375
12,1059.375
13,1244.0625
14,266.0625
15,1094.5625
16,922.25
17,368.5625
18,1359.125
19,397.125
20,271.8
21,349.625
22,994.1875
23,349.1875
24,308.7125
25,464.25
26,328.375
27,293.3125
28,388.3125
29,815.875
30,361.7375
31,411.9375
32,737
33,704.625
34,840.9375
35,845
36,398.4325
37,316.975
38,891.8125
39,236.9125
40,2151.125
41,382.0875
42,756.0625
43,356.5
44,588.0625
45,365.875
46,1176.875
47,371.61625
48,553.0625
49,1205.1875
50,669.5
51,863.8125
52,356.5625
53,582.25
54,363.625
55,421.625
56,416.75
57,775.375
58,268.73125
59,406.9875
60,1075
61,382.6875
62,2079.3125
63,419.1875
64,684
65,980.8125
66,672.25
67,1314.3125
68,528.3125
69,343.4875
70,270.3375
71,479
72,256.425
73,244.7875
74,821.75
75,272.9375
76,713.75
77,397.0875
78,501.875
79,295.5375
80,341.75
81,648.625
82,1253.75
83,316.7125
84,635.5
85,415.8375
86,727.5625
87,774.125
88,446.5625
89,227.375
90,421.8
91,544.325
92,425.625
93,1062.375
94,431.375
95,739.1875
96,379.5625
97,1348.1875
98,563.25
99,1242.3125
100,745
101,362.125
102,581
103,337.9375
104,686.525
105,326.375
106,323.5
107,618
108,613.1875
109,622.6875
110,430
111,914.1875
112,693.4375
113,1120.9375
114,260.125
115,541.9875
116,231.0375
117,1117.8125
118,427
119,480.3125
120,1384.25
121,1200.25
122,320.5
123,667.25
124,281.875
125,362.9375
126,329.725
127,522.625
128,1401.875
129,389.875
130,928.3125
131,299.75
132,1401.375
133,418.4625
134,389.125
135,265.8
136,372.1875
137,468.25
138,1035.5
139,390.375
140,790.1875
141,340.625
142,301.0625
143,430.0625
144,425.4
145,326.125
146,1225.1875
147,325.625
148,384.0875
149,851.5625
150,780.9375
151,736.875
152,636.375
153,1105.5625
154,970.9375
155,621.9375
156,1310.75
157,280.6375
158,361.4375
159,622.3125
160,255.7625
161,1011
162,321.625
163,413.85
164,489.6875
165,570.6875
166,1003.4375
167,1046.875
168,792.25
169,279.0625
170,716.25
171,312.875
172,798.125
173,227.75
174,298
175,573.6875
176,1090.5
177,383.0625
178,309.6875
179,276.05
180,334.3125
181,1027.5625
182,393.3125
183,407.5
184,445.0375
185,661.75
186,1418.875
187,436.8125
188,209.4
189,1277.0625
190,270.5875
191,707.375
192,709.0625
193,380.375
194,312.575
195,1315.1875
196,1193.375
197,332.29875
198,489.9875
199,1040.125
200,564.0625
201,393.5
202,839.875
203,964.125
204,368.9375
205,567.375
206,265.8
207,744.125
208,724.3125
209,346.9375
210,370.6875
211,975.625
212,730.875
213,275.4
214,409.1875
215,697.4625
216,371.3625
217,360.125
218,254.7875
219,470.8
220,893.8125
221,419.6875
222,294.57875
223,337.375
224,684.25
225,1423.9375
226,272.9625
227,375.8375
228,1013.5625
229,412.4375
230,345.8125
231,345.25
232,343.8125
233,945.3125
234,641.1875
235,707.125
236,1129.3125
237,1286.125
238,425.5875
239,259.75
240,1035.625
241,623.625
242,355.125
243,452.125
244,555.2125
245,1783.875
246,1343.375
247,718.25
248,318
249,263.625
250,332.4125
251,298.975
252,683.8125
253,275.54875
254,542.625
255,886.75
256,365.6875
257,835
258,275.45
259,320.9625
260,318.5375
261,994.875
262,613.25
263,589.25
264,1514.375
265,362.1875
266,321.7375
267,639.8125
268,302.875
269,366.3125
270,432.45
271,330.3125
272,375.18375
273,747.4375
274,360.125
275,464.875
276,377.7625
277,1202.6875
278,299
279,345.4
280,558.5
281,411.6875
282,885.1875
283,328.5
284,444.0625
285,238.875
286,254.9
287,284.375
288,462
289,320.4375
290,1112.5625
291,279.6075
292,456.0625
293,849.75
294,232.8125
295,541.875
296,518.9375
297,1251.1875
298,1139.6875
299,323.75
300,642.375
301,409.375
302,885
303,733.6875
304,814.0625
305,315.525
306,260.35
307,1265.0625
308,1560.1875
309,375.4625
310,949.25
311,1050.4375
312,818.125
313,420.5625
314,484.8625
315,362.125
316,684.3125
317,1304.25
318,1695.5
319,795.0625
320,1524.125
321,890.375
322,679.125
323,351.6875
324,430.5875
325,320.75
326,337.8375
327,729.0625
328,309.3125
329,767.125
330,274.20375
331,1026.125
332,683.625
333,868
334,399.8125
335,361.6875
336,341.875
337,248.75
338,719.625
339,250.25
340,239.0575
341,591.0625
342,516.7125
343,370.6875
344,1231.875
345,377.325
346,677.9375
347,977.625
348,390.125
349,526.9375
350,1561.3125
351,755.3125
352,1612.8125
353,760.125
354,622
355,242.5875
356,1055.1875
357,1195.8125
358,386.9375
359,611.8125
360,193.1875
361,427.8375
362,345.8125
363,421.05
364,589.4375
365,1202.875
366,1164.6875
367,914.1875
368,681.625
369,301.2125
370,1058.25
371,1564.5
372,303.0625
373,301.3125
374,837.6875
375,369.4125
376,616.2625
377,759.125
378,1134.625
379,889.525
380,615.8125
381,1436.3125
382,329.76625
383,320.0625
384,377.3125
385,236.6375
386,259.1125
387,1381.5625
388,377.4375
389,614.0625
390,890.25
391,316.25
392,791.3125
393,491.5625
394,263.575
395,947.0625
396,1081.0625
397,1433.875
398,348.875
399,1094.4375
400,329.18375
401,568
402,289.575
403,656.5
404,189.8625
405,1805.8125
406,442.25
407,306.8125
408,354.0625
409,395.5875
410,221.1125
411,177.55
412,869.5
413,616.125
414,327.675
415,928.6875
416,295.8625
417,867.8125
418,311
419,323.9375
420,329.5
421,921.4375
422,261.96125
423,433.1375
424,309.6875
425,791.875
426,332.24875
427,667.875
428,385.3125
429,2163.4375
430,682.5
431,439.5
432,338.6875
433,372.6
434,197.8375
435,429
436,1244.6875
437,578.0625
438,479.625
439,294.9125
440,710.25
441,345.625
442,647.0625
443,301.4375
444,741.375
445,439.575
446,355.6875
447,323.9625
448,488.125
449,769.6875
450,662.125
451,185.25
452,790.375
453,1072.375
454,352.0125
455,1341
456,621.25
457,435.6875
458,648.6875
459,403.1
460,217.3375
461,248.25375
462,1198.5
463,368.4375
464,238.3625
465,320.125
466,256.5
467,580.1875
468,843.25
469,333.8125
470,236.4375
471,1075.5
472,677
473,359.5
474,896.9375
475,190.375
476,586.375
477,412.3125
478,1456
479,1141.4375
480,276.375
481,471.175
482,1536.0625
483,1409
484,1465.3125
485,333.4375
486,1422.625
487,425.4375
488,355.25
489,338.5875
490,655.4375
491,462.5625
492,240.625
493,1817.375
494,902.375
495,1261.9375
496,634.325
497,1252.5
498,337.75
499,592.7625
500,814.6875
501,995.875
502,994.75
503,358.2375
504,634.75
505,442.625
506,578.4375
507,389
508,335.875
509,286.1875
510,356.775
511,323.375
512,487.5
513,934.875
514,302.875
515,290.9875
516,297.25
517,561
518,2181.125
519,310.4375
520,533.5625
521,311.3125
522,673.1875
523,318.5625
524,1990.125
525,1788.5
526,407
527,779.4375
528,294.0375
529,435.9625
530,1200.3125
531,456.3125
532,420.5625
533,363.3125
534,1186.9375
535,713.625
536,448.75
537,643.8125
538,762.75
539,773.4375
540,797.8125
541,2012.25
542,206.4
543,294.0625
544,413.25
545,322.5
546,820.375
547,1412.625
548,456.775
549,257.5625
550,288.5
551,833.3125
552,766.5
553,245.0875
554,1076.5
555,392.8125
556,533.8125
557,864.5625
558,398.75
559,628.75
560,383.2375
561,364.1875
562,148.375
563,365.0125
564,343.875
565,796.1875
566,445.5625
567,564.0375
568,487.525
569,495.3125
570,358.6125
571,428.875
572,469.625
573,378
574,509.125
575,374.4375
576,490.05
577,681.4375
578,884.35
579,246.3
580,367
581,443.4375
582,368.7875
583,220.1625
584,566
585,378.2825
586,640.4
587,1196.9375
588,300.6125
589,376.4875
590,904.0625
591,209.725
592,465.6875
593,549.05
594,239.9
595,505.2625
596,386.8125
597,325.125
598,337.5
599,265.975
600,766.8
601,666.4375
602,508.2375
603,395.875
604,1006.6875
605,683.8125
606,898.5625
607,405
608,337.125
609,463.8125
610,776.25
611,440.925
612,345.0625
613,417.65
614,801.3125
615,349.45
616,733.875
617,433.9125
618,326.5625
619,845.3125
620,316.775
621,554.4375
622,606.75
623,362.0625
624,237.0375
625,1025.0625
626,216.6
627,394.0625
628,401.75
629,360.75
630,716.5625
631,322.1875
632,732.5625
633,853.625
634,376.1875
635,274.0125
636,428.1875
637,384.9375
638,551.5875
639,585.8125
640,1626.4375
641,371.025
642,443.25
643,295.8125
644,357.625
645,417.625
646,878
647,457.5625
648,455.925
649,333.925
650,630.9375
651,377.8875
652,658.5
653,1637.8125
654,743
655,574.3125
656,828.6875
657,406.3125
658,378.0625
659,1501.3125
660,362.1375
661,499.825
662,227
663,312
664,420.125
665,403.9375
666,313.1875
667,839.1875
668,339.9375
669,392.25
670,378.9375
671,302.4375
672,344.6875
673,635.3125
674,575.8125
675,619.2375
676,574.8125
677,362.9375
678,465.4625
679,348.875
680,1283.875
681,316.9
682,1061.375
683,246.7125
684,1105.25
685,660.4375
686,896.625
687,265.5
688,309.9
689,872.3125
690,1715.1875
691,1445.4375
692,406.75
693,387.875
694,802.6875
695,364.9375
696,456.9375
697,2095.75
698,302.6875
699,868.625
700,149.0375
701,411.5
702,1605.125
703,439.5
704,333.6875
705,344.6875
706,298.5
707,413.65
708,198.4375
709,335.875
710,488.375
711,497.75
712,353.7125
713,871.1875
714,623.625
715,559.9375
716,283.9375
717,366.75
718,355.1875
719,331.1875
720,1207.875
721,1324.625
722,992.875
723,375
724,402.375
725,842.3125
726,608.75
727,306.0625
728,360.2625
729,425.25
730,221.8375
731,332.125
732,751.8375
733,391
734,961
735,216.7
736,871
737,354.625
738,364.5
739,848.875
740,299.6875
741,386
742,689.75
743,434.375
744,416.0625
745,656.5
746,408.8125
747,490.3125
748,671.9375
749,374.5625
750,625.25
751,354.5
752,365.8125
753,372.9375
754,417.5
755,470.75
756,368.5
757,857
758,390.05
759,689.0625
760,342.6875
761,349.3125
762,849.625
763,371
764,362.0625
765,342.375
766,462.6875
767,735.125
768,1013.5625
769,407.8625
770,1076.375
771,231.25
772,445.2625
773,494.9375
774,587.25
775,442.6875
776,211.2875
777,587.9375
778,317.5625
779,843.8125
780,724.3125
781,927.875
782,307.5625
783,385.625
784,676.1875
785,655.25
786,750.625
787,325.8125
788,294.325
789,638.4375
790,375.25
791,232.125
792,807.625
793,216.7125
794,246.5625
795,302.5
796,266.125
797,460.8
798,1251.625
799,909.5625
800,601.1875
801,413.9625
802,401.25
803,426.8125
804,517.8125
805,417.375
806,256.625
807,231.875
808,1297.875
809,264.025
810,406.4375
811,499.1875
812,237.8125
813,462.75
814,1262.875
815,1135.9375
816,1243.5
817,371.3125
818,654.0625
819,434.1875
820,314.74625
821,303.875
822,316.5375
823,2128.8125
824,309.4375
825,435.3125
826,341.175
827,1178.6875
828,382.3125
829,784.9375
830,375.0625
831,638.4375
832,399.375
833,613.25
834,1084.4375
835,653.9375
836,366.9375
837,235.475
838,696.4375
839,714.8125
840,540.0625
841,512
842,665.5625
843,1935.5
844,378.5
845,381.8125
846,1237.175
847,707.15
848,309.125
849,1564.125
850,369.5
851,341.4375
852,687.5625
853,320.25
854,1012.3125
855,561.8125
856,181.7625
857,368.7375
858,439.2625
859,1261.9375
860,1045.375
861,298.4875
862,390.375
863,1185.3125
864,481.35
865,975.25
866,704.1125
867,383.8125
868,631.6375
869,355.4375
870,1094.0625
871,265.6625
872,1392.375
873,214.75
874,836.25
875,307.9
876,838.3125
877,796.75
878,622.7875
879,368.75
880,375.7375
881,402.5625
882,546
883,328.9375
884,267.875
885,308.0625
886,300.5625
887,468.5625
888,984.25
889,485.875
890,608
891,1224.5625
892,771.9
893,1173.8125
894,1336.375
895,1213.0625
896,635.75
897,339.4375
898,935.5
899,261.9375
900,921.375
901,864.375
902,368.9375
903,942.5
904,449.375
905,331.1875
906,267.9875
907,240.5625
908,288.8
909,326.0625
910,363.3125
911,220.1375
912,513.375
913,594.7
914,331.9375
915,393.125
916,433.4375
917,494.1625
918,520.425
919,1040.375
920,674.25
921,670.5
922,384
923,1232.9375
924,954.5
925,710
926,740.1875
927,746.625
928,654.1875
929,403.9125
930,641.8375
931,246.0375
932,901.8125
933,268.25
934,688.6875
935,862
936,527.85
937,593.875
938,808.4
939,362.4375
940,598.375
941,852.4375
942,1181.4375
943,1093.9375
944,1188.4375
945,331.15
946,564.9125
947,694.375
948,395.375
949,221.25
950,1165.6875
951,939.375
952,281.8375
953,757.75
954,275.4375
955,1528.0625
956,616.0625
957,595.9375
958,245.8375
959,1236.3125
960,1408.375
961,338.375
962,375.8375
963,203.55
964,252.2625
965,605.75
966,395.375
967,690.75
968,817.0625
969,886.3375
970,285.7875
971,621.125
972,444.6875
973,347.5625
974,314.125
975,363.375
976,705.5625
977,1010.5
978,740.8125
979,354.9
980,755.125
981,560.25
982,1517.25
983,243.5625
984,334.375
985,371.125
986,357.3125
987,420.875
988,690.875
